# Elastic Scattering results summary.

Temperature 20.0000

MF values   51
Samples     15
Positions   255 x 255
Phi steps   63

# Results #

B       sigma_xx_inc    sigma_xx_coh    sigma_xy_inc    sigma_xy_coh    delta_xx        
0.01    1.266785e-02    7.196527e-06    -5.479282e-07   9.662435e-10    0.004983        
2.01    1.266717e-02    7.195569e-06    3.391759e-05    2.356570e-08    0.004993        
4.01    1.266446e-02    7.196070e-06    6.853396e-05    4.352119e-08    0.004991        
6.01    1.265338e-02    7.195573e-06    1.026404e-04    6.421674e-08    0.004985        
8.01    1.263638e-02    7.194187e-06    1.365877e-04    8.583261e-08    0.004973        
10.01   1.261672e-02    7.193855e-06    1.700291e-04    1.075837e-07    0.004956        
12.01   1.259550e-02    7.194005e-06    2.033269e-04    1.300651e-07    0.004948        
14.01   1.257327e-02    7.192946e-06    2.363736e-04    1.517847e-07    0.004933        
16.01   1.255075e-02    7.191939e-06    2.692211e-04    1.729069e-07    0.004925        
18.01   1.252797e-02    7.190832e-06    3.018449e-04    1.948549e-07    0.004919        
20.01   1.250466e-02    7.189761e-06    3.342170e-04    2.151465e-07    0.004906        
22.01   1.248079e-02    7.189074e-06    3.664223e-04    2.370919e-07    0.004896        
24.01   1.245700e-02    7.187152e-06    3.981373e-04    2.585733e-07    0.004884        
26.01   1.243263e-02    7.185023e-06    4.296100e-04    2.794296e-07    0.004872        
28.01   1.240832e-02    7.183331e-06    4.609401e-04    3.013004e-07    0.004855        
30.01   1.238380e-02    7.181262e-06    4.921038e-04    3.224630e-07    0.004845        
32.01   1.235865e-02    7.180826e-06    5.228497e-04    3.457709e-07    0.004828        
34.01   1.233417e-02    7.179847e-06    5.533255e-04    3.670543e-07    0.004818        
36.01   1.230926e-02    7.178441e-06    5.836781e-04    3.905234e-07    0.004802        
38.01   1.228424e-02    7.175461e-06    6.135960e-04    4.116843e-07    0.004795        
40.01   1.225894e-02    7.174710e-06    6.432258e-04    4.343114e-07    0.004791        
42.01   1.223379e-02    7.171065e-06    6.727796e-04    4.555295e-07    0.004778        
44.01   1.220833e-02    7.168955e-06    7.020304e-04    4.769574e-07    0.004762        
46.01   1.218260e-02    7.166695e-06    7.309431e-04    4.988953e-07    0.004752        
48.01   1.215672e-02    7.164172e-06    7.596066e-04    5.220581e-07    0.004742        
50.00   1.213103e-02    7.160559e-06    7.881579e-04    5.434030e-07    0.004721        
52.00   1.210511e-02    7.157568e-06    8.164063e-04    5.658297e-07    0.004702        
54.00   1.207890e-02    7.153626e-06    8.441638e-04    5.870551e-07    0.004691        
56.00   1.205271e-02    7.150466e-06    8.718630e-04    6.093988e-07    0.004676        
58.00   1.202655e-02    7.147988e-06    8.990730e-04    6.312807e-07    0.004661        
60.00   1.199996e-02    7.143196e-06    9.261581e-04    6.530324e-07    0.004645        
62.00   1.197344e-02    7.138666e-06    9.529564e-04    6.736960e-07    0.004632        
64.00   1.194699e-02    7.134942e-06    9.795833e-04    6.954380e-07    0.004618        
66.00   1.192047e-02    7.131125e-06    1.005772e-03    7.173523e-07    0.004602        
68.00   1.189358e-02    7.126282e-06    1.031760e-03    7.378874e-07    0.004588        
70.00   1.186696e-02    7.122352e-06    1.057625e-03    7.586653e-07    0.004571        
72.00   1.184004e-02    7.118713e-06    1.083162e-03    7.803370e-07    0.004559        
74.00   1.181305e-02    7.113725e-06    1.108323e-03    8.016181e-07    0.004546        
76.00   1.178571e-02    7.107290e-06    1.133222e-03    8.209512e-07    0.004526        
78.00   1.175865e-02    7.102895e-06    1.157824e-03    8.426918e-07    0.004511        
80.00   1.173163e-02    7.097980e-06    1.182390e-03    8.645278e-07    0.004499        
82.00   1.170405e-02    7.092270e-06    1.206474e-03    8.854052e-07    0.004484        
84.00   1.167685e-02    7.085770e-06    1.230388e-03    9.055115e-07    0.004474        
86.00   1.164970e-02    7.080899e-06    1.254103e-03    9.265021e-07    0.004459        
88.00   1.162217e-02    7.075796e-06    1.277299e-03    9.477115e-07    0.004449        
90.00   1.159468e-02    7.070478e-06    1.300487e-03    9.688796e-07    0.004437        
92.00   1.156710e-02    7.063715e-06    1.323179e-03    9.895205e-07    0.004428        
94.00   1.153968e-02    7.058444e-06    1.345627e-03    1.010635e-06    0.00441         
96.00   1.151192e-02    7.053639e-06    1.367861e-03    1.032084e-06    0.004391        
98.00   1.148424e-02    7.047192e-06    1.389867e-03    1.051950e-06    0.004381        
100.00  1.145657e-02    7.042605e-06    1.411761e-03    1.073791e-06    0.004371        
