# Elastic Scattering results summary.

Temperature 100.0000

MF values   51
Samples     15
Positions   255 x 255
Phi steps   63

# Results #

B       sigma_xx_inc    sigma_xx_coh    sigma_xy_inc    sigma_xy_coh    delta_xx        
0.01    2.571750e-02    8.540853e-05    2.546576e-06    -2.150269e-07   0.003087        
2.01    2.571456e-02    8.514339e-05    1.192721e-04    2.064363e-06    0.003092        
4.01    2.567944e-02    8.473782e-05    2.348795e-04    4.853140e-06    0.00308         
6.01    2.561636e-02    8.439142e-05    3.487433e-04    7.562975e-06    0.003072        
8.01    2.554340e-02    8.379785e-05    4.612627e-04    1.001084e-05    0.00306         
10.01   2.546616e-02    8.327437e-05    5.723246e-04    1.257201e-05    0.003049        
12.01   2.538694e-02    8.257351e-05    6.819876e-04    1.500152e-05    0.00304         
14.01   2.530632e-02    8.173747e-05    7.902230e-04    1.727260e-05    0.003033        
16.01   2.522468e-02    8.074720e-05    8.970540e-04    1.944661e-05    0.003024        
18.01   2.514203e-02    7.963514e-05    1.002422e-03    2.156257e-05    0.003016        
20.01   2.505847e-02    7.842100e-05    1.106280e-03    2.359525e-05    0.003007        
22.01   2.497405e-02    7.714404e-05    1.208658e-03    2.547270e-05    0.002998        
24.01   2.488882e-02    7.570383e-05    1.309525e-03    2.717742e-05    0.002989        
26.01   2.480298e-02    7.433860e-05    1.408985e-03    2.885601e-05    0.002978        
28.01   2.471642e-02    7.289605e-05    1.506920e-03    3.042082e-05    0.002967        
30.01   2.462919e-02    7.138590e-05    1.603413e-03    3.187398e-05    0.002956        
32.01   2.454141e-02    6.983956e-05    1.698409e-03    3.319648e-05    0.002947        
34.01   2.445272e-02    6.817150e-05    1.791858e-03    3.434840e-05    0.002936        
36.01   2.436347e-02    6.652384e-05    1.883829e-03    3.547841e-05    0.002925        
38.01   2.427373e-02    6.479764e-05    1.974295e-03    3.652238e-05    0.002911        
40.01   2.418338e-02    6.318997e-05    2.063150e-03    3.737816e-05    0.002899        
42.01   2.409191e-02    6.157055e-05    2.150424e-03    3.818036e-05    0.002886        
44.01   2.400045e-02    5.986332e-05    2.236286e-03    3.900064e-05    0.002872        
46.01   2.390765e-02    5.825024e-05    2.320644e-03    3.967885e-05    0.00285         
48.01   2.381449e-02    5.668536e-05    2.403554e-03    4.021071e-05    0.002837        
50.00   2.372072e-02    5.515077e-05    2.484747e-03    4.064733e-05    0.002825        
52.00   2.362524e-02    5.353798e-05    2.564213e-03    4.105375e-05    0.002806        
54.00   2.352986e-02    5.205414e-05    2.642257e-03    4.142678e-05    0.002782        
56.00   2.343402e-02    5.057439e-05    2.718619e-03    4.175037e-05    0.002771        
58.00   2.333567e-02    4.909569e-05    2.793570e-03    4.195838e-05    0.002726        
60.00   2.323675e-02    4.766405e-05    2.866807e-03    4.213981e-05    0.002721        
62.00   2.313797e-02    4.630569e-05    2.938200e-03    4.225270e-05    0.002675        
64.00   2.303641e-02    4.497182e-05    3.007889e-03    4.229437e-05    0.002626        
66.00   2.293339e-02    4.365241e-05    3.076066e-03    4.232258e-05    0.002605        
68.00   2.283092e-02    4.234912e-05    3.142688e-03    4.236136e-05    0.002539        
70.00   2.272683e-02    4.112468e-05    3.207644e-03    4.227429e-05    0.002532        
72.00   2.262233e-02    3.989488e-05    3.270778e-03    4.218236e-05    0.002527        
74.00   2.251463e-02    3.873367e-05    3.332485e-03    4.207498e-05    0.002471        
76.00   2.240372e-02    3.761377e-05    3.391329e-03    4.195989e-05    0.002398        
78.00   2.229703e-02    3.650822e-05    3.450437e-03    4.183212e-05    0.00234         
80.00   2.218459e-02    3.543551e-05    3.505804e-03    4.164124e-05    0.0023          
82.00   2.207493e-02    3.437748e-05    3.560899e-03    4.142746e-05    0.002254        
84.00   2.196458e-02    3.334421e-05    3.614578e-03    4.120698e-05    0.002176        
86.00   2.185019e-02    3.240858e-05    3.665179e-03    4.093374e-05    0.002167        
88.00   2.173044e-02    3.147514e-05    3.713832e-03    4.071715e-05    0.002062        
90.00   2.162082e-02    3.061123e-05    3.763185e-03    4.042996e-05    0.002122        
92.00   2.150656e-02    2.970226e-05    3.809851e-03    4.017266e-05    0.001985        
94.00   2.138432e-02    2.880922e-05    3.853722e-03    3.980399e-05    0.001937        
96.00   2.126252e-02    2.801343e-05    3.895158e-03    3.950948e-05    0.001882        
98.00   2.114502e-02    2.722044e-05    3.938194e-03    3.917401e-05    0.001704        
100.00  2.102463e-02    2.645620e-05    3.978398e-03    3.882419e-05    0.001781        
