B sxx sxy
0.00000 213424595.971215009689331 0.000000000000000
0.50000 210026338.442756950855255 13023745.197817940264940
1.00000 202129908.085694074630737 23878229.266828101128340
1.50000 192247450.607630968093872 32056429.502142954617739
2.00000 181774911.733413517475128 37778797.722907893359661
2.50000 171474140.414485752582550 41540037.454770527780056
3.00000 161719842.023735076189041 43847856.481582254171371
3.50000 152664545.195782095193863 45118021.064612329006195
4.00000 144342898.927139341831207 45661101.492823094129562
4.50000 136731257.745738893747330 45700198.897283606231213
5.00000 129780020.935436055064201 45393112.355630338191986
5.50000 123430346.778815984725952 44850944.676198363304138
6.00000 117622638.127766981720924 44151950.659914568066597
6.50000 112300498.370958805084229 43351375.311723411083221
7.00000 107412403.990250989794731 42488312.383096627891064
7.50000 102912150.543164044618607 41590468.125982582569122
8.00000 98758772.891190633177757 40677470.408885709941387
8.50000 94916130.322746619582176 39763182.807999759912491
9.00000 91352425.052114948630333 38857331.613843820989132
9.50000 88039701.198562249541283 37966659.579423323273659
10.00000 84953365.625112339854240 37095748.846945106983185
10.50000 82071757.936858966946602 36247612.521752469241619
11.00000 79375753.643774956464767 35424122.753624603152275
11.50000 76848448.351053521037102 34626323.220927067101002
12.00000 74474853.350217700004578 33854656.913418062031269
12.50000 72241648.441278502345085 33109134.066554218530655
13.00000 70136966.172150835394859 32389455.990335140377283
13.50000 68150206.428985714912415 31695106.447787832468748
14.00000 66271878.967802278697491 31025420.734264515340328
14.50000 64493463.836259089410305 30379634.569243866950274
15.00000 62807295.078637726604939 29756922.306980792433023
15.50000 61206458.583539061248302 29156424.345934133976698
16.00000 59684704.058959260582924 28577267.411099579185247
16.50000 58236368.753299139440060 28018579.357455480843782
17.00000 56856311.198557414114475 27479499.848112121224403
17.50000 55539859.686423383653164 26959190.415844347327948
18.00000 54282737.971154510974884 26456830.381529819220304
18.50000 53081056.245086692273617 25971633.442749887704849
19.00000 51931249.690773949027061 25502841.585194736719131
19.50000 50830050.130828872323036 25049728.197296146303415
20.00000 49774456.122857876121998 24611598.504543982446194
20.50000 48761706.554540075361729 24187789.465417917817831
21.00000 47789257.277565933763981 23777669.276525959372520
21.50000 46854760.386006802320480 23380636.599430333822966
22.00000 45956045.801035448908806 22996119.594768106937408
22.50000 45091104.871653720736504 22623574.828675940632820
23.00000 44258075.741478487849236 22262486.100706629455090
23.50000 43455230.265949726104736 21912363.230256680399179
24.00000 42680962.293525159358978 21572740.829156905412674
24.50000 41933777.149309076368809 21243177.080862611532211
25.00000 41212282.180748648941517 20923252.541140098124743
25.50000 40515178.137582361698151 20612568.947604358196259
26.00000 39841251.507974028587341 20310747.962360300123692
26.50000 39189368.365327805280685 20017430.736049789935350
27.00000 38558466.628753311932087 19732275.912845853716135
27.50000 37947551.368471950292587 19454959.240448284894228
28.00000 37355689.402493938803673 19185172.501704748719931
28.50000 36782004.592637129127979 18922622.620824329555035
29.00000 36225673.566616028547287 18667030.821904517710209
29.50000 35685921.817580468952656 18418131.833729006350040
30.00000 35162020.143346466124058 18175673.139522384852171
30.50000 34653281.391394220292568 17939414.269743729382753
31.00000 34159057.479575000703335 17709126.135961193591356
31.50000 33678736.665674954652786 17484590.403700366616249
32.00000 33211741.042072426527739 17265598.902298524975777
32.50000 32757524.234237343072891 17051953.069770764559507
33.00000 32315569.284010000526905 16843463.430684641003609
33.50000 31885386.700636856257915 16639949.105135314166546
34.00000 31466520.062855705618858 16441243.317397102713585
34.50000 31058515.348170459270477 16247169.632683215662837
35.00000 30660962.084962688386440 16057575.745185364037752
35.50000 30273464.015738002955914 15872310.807036854326725
36.00000 29895644.639066416770220 15691230.516004979610443
