# Elastic Scattering results summary.

Temperature 100.0000

MF values   51
Samples     15
Positions   255 x 255
Phi steps   63

# Results #

B       sigma_xx_inc    sigma_xx_coh    sigma_xy_inc    sigma_xy_coh    delta_xx        
0.01    9.012504e-03    7.196527e-06    2.727352e-07    9.662435e-10    0.003897        
2.01    9.012291e-03    7.195569e-06    1.774077e-05    2.356570e-08    0.003901        
4.01    9.011955e-03    7.196070e-06    3.522608e-05    4.352119e-08    0.003901        
6.01    9.009367e-03    7.195573e-06    5.262119e-05    6.421674e-08    0.0039          
8.01    9.003859e-03    7.194187e-06    6.989488e-05    8.583261e-08    0.003894        
10.01   8.996211e-03    7.193855e-06    8.701974e-05    1.075837e-07    0.003886        
12.01   8.987103e-03    7.194005e-06    1.040531e-04    1.300651e-07    0.003881        
14.01   8.977091e-03    7.192946e-06    1.210124e-04    1.517847e-07    0.003873        
16.01   8.966501e-03    7.191939e-06    1.378700e-04    1.729069e-07    0.00387         
18.01   8.955579e-03    7.190832e-06    1.546619e-04    1.948549e-07    0.003866        
20.01   8.944316e-03    7.189761e-06    1.713880e-04    2.151465e-07    0.00386         
22.01   8.932758e-03    7.189074e-06    1.880259e-04    2.370919e-07    0.003855        
24.01   8.921112e-03    7.187152e-06    2.045248e-04    2.585733e-07    0.003848        
26.01   8.909214e-03    7.185023e-06    2.209111e-04    2.794296e-07    0.003842        
28.01   8.897281e-03    7.183331e-06    2.372273e-04    3.013004e-07    0.003835        
30.01   8.885266e-03    7.181262e-06    2.534866e-04    3.224630e-07    0.003829        
32.01   8.873049e-03    7.180826e-06    2.696429e-04    3.457709e-07    0.003819        
34.01   8.860923e-03    7.179847e-06    2.856737e-04    3.670543e-07    0.003814        
36.01   8.848744e-03    7.178441e-06    3.016657e-04    3.905234e-07    0.003808        
38.01   8.836470e-03    7.175461e-06    3.175202e-04    4.116843e-07    0.003803        
40.01   8.824093e-03    7.174710e-06    3.332793e-04    4.343114e-07    0.0038          
42.01   8.811736e-03    7.171065e-06    3.489887e-04    4.555295e-07    0.003794        
44.01   8.799273e-03    7.168955e-06    3.645918e-04    4.769574e-07    0.003786        
46.01   8.786747e-03    7.166695e-06    3.800824e-04    4.988953e-07    0.003782        
48.01   8.774130e-03    7.164172e-06    3.954715e-04    5.220581e-07    0.003776        
50.00   8.761526e-03    7.160559e-06    4.108367e-04    5.434030e-07    0.003767        
52.00   8.748912e-03    7.157568e-06    4.260868e-04    5.658297e-07    0.003759        
54.00   8.736171e-03    7.153626e-06    4.411736e-04    5.870551e-07    0.003753        
56.00   8.723361e-03    7.150466e-06    4.562178e-04    6.093988e-07    0.003745        
58.00   8.710601e-03    7.147988e-06    4.711302e-04    6.312807e-07    0.003738        
60.00   8.697667e-03    7.143196e-06    4.859755e-04    6.530324e-07    0.003732        
62.00   8.684762e-03    7.138666e-06    5.007200e-04    6.736960e-07    0.003726        
64.00   8.671822e-03    7.134942e-06    5.153975e-04    6.954380e-07    0.003719        
66.00   8.658922e-03    7.131125e-06    5.299505e-04    7.173523e-07    0.003713        
68.00   8.645857e-03    7.126282e-06    5.444053e-04    7.378874e-07    0.003707        
70.00   8.632792e-03    7.122352e-06    5.587827e-04    7.586653e-07    0.003698        
72.00   8.619678e-03    7.118713e-06    5.730759e-04    7.803370e-07    0.003693        
74.00   8.606532e-03    7.113725e-06    5.872245e-04    8.016181e-07    0.003687        
76.00   8.593320e-03    7.107290e-06    6.013109e-04    8.209512e-07    0.003679        
78.00   8.580077e-03    7.102895e-06    6.152901e-04    8.426918e-07    0.003672        
80.00   8.566856e-03    7.097980e-06    6.292224e-04    8.645278e-07    0.003666        
82.00   8.553455e-03    7.092270e-06    6.429921e-04    8.854052e-07    0.00366         
84.00   8.540166e-03    7.085770e-06    6.567167e-04    9.055115e-07    0.003656        
86.00   8.526822e-03    7.080899e-06    6.703475e-04    9.265021e-07    0.003648        
88.00   8.513421e-03    7.075796e-06    6.838378e-04    9.477115e-07    0.003642        
90.00   8.500003e-03    7.070478e-06    6.973005e-04    9.688796e-07    0.003637        
92.00   8.486510e-03    7.063715e-06    7.105658e-04    9.895205e-07    0.003632        
94.00   8.473037e-03    7.058444e-06    7.237465e-04    1.010635e-06    0.003624        
96.00   8.459447e-03    7.053639e-06    7.368562e-04    1.032084e-06    0.003615        
98.00   8.445878e-03    7.047192e-06    7.498859e-04    1.051950e-06    0.003609        
100.00  8.432294e-03    7.042605e-06    7.628558e-04    1.073791e-06    0.003604        
