# Elastic Scattering results summary.

Temperature 20.0000

MF values   51
Samples     15
Positions   255 x 255
Phi steps   63

# Results #

B       sigma_xx_inc    sigma_xx_coh    sigma_xy_inc    sigma_xy_coh    delta_xx        
0.01    7.946836e-02    8.540853e-05    4.724940e-05    -2.150269e-07   0.007396        
2.01    7.913240e-02    8.514339e-05    1.148751e-03    2.064363e-06    0.007356        
4.01    7.839653e-02    8.473782e-05    2.209792e-03    4.853140e-06    0.007298        
6.01    7.761386e-02    8.439142e-05    3.224415e-03    7.562975e-06    0.007251        
8.01    7.680568e-02    8.379785e-05    4.199201e-03    1.001084e-05    0.007188        
10.01   7.597579e-02    8.327437e-05    5.129319e-03    1.257201e-05    0.007126        
12.01   7.512561e-02    8.257351e-05    6.013621e-03    1.500152e-05    0.007063        
14.01   7.425994e-02    8.173747e-05    6.852611e-03    1.727260e-05    0.007008        
16.01   7.338315e-02    8.074720e-05    7.647667e-03    1.944661e-05    0.006937        
18.01   7.249589e-02    7.963514e-05    8.398118e-03    2.156257e-05    0.006869        
20.01   7.160191e-02    7.842100e-05    9.103352e-03    2.359525e-05    0.006804        
22.01   7.070197e-02    7.714404e-05    9.766938e-03    2.547270e-05    0.006735        
24.01   6.979785e-02    7.570383e-05    1.038626e-02    2.717742e-05    0.006666        
26.01   6.889562e-02    7.433860e-05    1.096490e-02    2.885601e-05    0.00659         
28.01   6.799447e-02    7.289605e-05    1.150207e-02    3.042082e-05    0.006513        
30.01   6.709527e-02    7.138590e-05    1.199973e-02    3.187398e-05    0.006433        
32.01   6.620129e-02    6.983956e-05    1.245872e-02    3.319648e-05    0.006358        
34.01   6.531164e-02    6.817150e-05    1.288075e-02    3.434840e-05    0.00628         
36.01   6.443239e-02    6.652384e-05    1.326952e-02    3.547841e-05    0.006194        
38.01   6.356111e-02    6.479764e-05    1.362516e-02    3.652238e-05    0.006116        
40.01   6.270035e-02    6.318997e-05    1.394920e-02    3.737816e-05    0.006031        
42.01   6.184765e-02    6.157055e-05    1.424312e-02    3.818036e-05    0.005952        
44.01   6.101040e-02    5.986332e-05    1.451110e-02    3.900064e-05    0.00587         
46.01   6.018218e-02    5.825024e-05    1.475251e-02    3.967885e-05    0.005775        
48.01   5.936697e-02    5.668536e-05    1.496882e-02    4.021071e-05    0.005698        
50.00   5.856564e-02    5.515077e-05    1.516299e-02    4.064733e-05    0.005627        
52.00   5.777344e-02    5.353798e-05    1.533391e-02    4.105375e-05    0.005545        
54.00   5.699717e-02    5.205414e-05    1.548615e-02    4.142678e-05    0.00545         
56.00   5.623366e-02    5.057439e-05    1.561851e-02    4.175037e-05    0.005378        
58.00   5.547885e-02    4.909569e-05    1.573327e-02    4.195838e-05    0.005267        
60.00   5.473766e-02    4.766405e-05    1.583141e-02    4.213981e-05    0.005204        
62.00   5.401213e-02    4.630569e-05    1.591461e-02    4.225270e-05    0.00509         
64.00   5.329220e-02    4.497182e-05    1.598178e-02    4.229437e-05    0.004977        
66.00   5.258566e-02    4.365241e-05    1.603610e-02    4.232258e-05    0.004908        
68.00   5.189386e-02    4.234912e-05    1.608009e-02    4.236136e-05    0.004775        
70.00   5.121195e-02    4.112468e-05    1.610978e-02    4.227429e-05    0.004718        
72.00   5.054258e-02    3.989488e-05    1.612807e-02    4.218236e-05    0.004669        
74.00   4.988081e-02    3.873367e-05    1.613745e-02    4.207498e-05    0.004566        
76.00   4.922305e-02    3.761377e-05    1.613311e-02    4.195989e-05    0.004422        
78.00   4.859064e-02    3.650822e-05    1.612680e-02    4.183212e-05    0.004324        
80.00   4.795610e-02    3.543551e-05    1.610505e-02    4.164124e-05    0.004237        
82.00   4.734204e-02    3.437748e-05    1.608179e-02    4.142746e-05    0.004134        
84.00   4.673844e-02    3.334421e-05    1.605140e-02    4.120698e-05    0.004014        
86.00   4.613719e-02    3.240858e-05    1.600858e-02    4.093374e-05    0.00397         
88.00   4.553506e-02    3.147514e-05    1.595849e-02    4.071715e-05    0.003809        
90.00   4.496898e-02    3.061123e-05    1.591401e-02    4.042996e-05    0.003839        
92.00   4.440313e-02    2.970226e-05    1.585870e-02    4.017266e-05    0.003657        
94.00   4.383137e-02    2.880922e-05    1.579198e-02    3.980399e-05    0.003572        
96.00   4.327099e-02    2.801343e-05    1.572063e-02    3.950948e-05    0.003464        
98.00   4.273077e-02    2.722044e-05    1.565492e-02    3.917401e-05    0.003243        
100.00  4.219340e-02    2.645620e-05    1.558199e-02    3.882419e-05    0.003286        
